"model","term","increment","IRR","CI_low","CI_high"
"mental_health_lag0_1ug","pm25",1,0.999590943885122,0.992331163043136,1.00690383645013
"mental_health_lag0_5ug","pm25",5,0.997956392010339,0.962239432961242,1.03499911377505
"mental_health_lag01_pm25_1ug","pm25",1,0.999790711918547,0.992493459329233,1.00714161714895
"mental_health_lag01_pm25lag1_1ug","pm25_lag1",1,1.00246083711371,0.995274203406498,1.00969936376045
"suicide_lag0_1ug","pm25",1,1.01624409322434,0.980498774473084,1.05329255262799
"suicide_lag0_5ug","pm25",5,1.08390238441846,0.90622340791654,1.29641804513641
"suicide_lag01_pm25_1ug","pm25",1,1.02091681484572,0.984456043797765,1.05872796393624
"suicide_lag01_pm25lag1_1ug","pm25_lag1",1,1.02454933257623,0.987951862103438,1.06250251165831
